"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","SEIFA_IRSD","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Other","Total","Aus Gov","Aust"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Government","Australian Government","DVA","Unreferred medical services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","134"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Government","Australian Government","Department of Health and other","Unreferred medical services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","11316"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Government","Australian Government","Health insurance premium rebates","Unreferred medical services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","0"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Government","Australian Government","Total","Unreferred medical services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","11450"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Government","State; territory and local government","","Unreferred medical services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","0"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Government","All government","","Unreferred medical services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","11450"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Non-government","Private health insurance funds","","Unreferred medical services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","0"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Non-government","Individuals","","Unreferred medical services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","1672"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Non-government","Other","","Unreferred medical services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","1490"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Non-government","All non-government","","Unreferred medical services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","3162"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Total expenditure","","","Unreferred medical services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","14612"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Government","Australian Government","DVA","Dental services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","96"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Government","Australian Government","Department of Health and other","Dental services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","500"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Government","Australian Government","Health insurance premium rebates","Dental services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","860"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Government","Australian Government","Total","Dental services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","1456"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Government","State; territory and local government","","Dental services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","1058"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Government","All government","","Dental services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","2514"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Non-government","Private health insurance funds","","Dental services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","2606"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Non-government","Individuals","","Dental services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","7986"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Non-government","Other","","Dental services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","59"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Non-government","All non-government","","Dental services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","10651"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Total expenditure","","","Dental services","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","13166"
"10A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","Recurrent expenditure on primary and community health","Government","Australian Government","DVA","Other health practitioners","","","","AIHW Health Expenditure Australia","$m","","","","","","","","","","","","279"
